"CLIENTNUM","Customer_Age","Gender","Education_Level","Marital_Status","Income_Category","Months_Inactive_12_mon","Credit_Limit","Total_Trans_Amt","Total_Trans_Ct"
768805383,45,"M","High School","Married","$60K - $80K",1,12691,1144,42
818770008,49,"F","Graduate","Single","Less than $40K",1,8256,1291,33
713982108,51,"M","Graduate","Married","$80K - $120K",1,3418,1887,20
769911858,40,"F","High School","Unknown","Less than $40K",4,3313,1171,20
713061558,44,"M","Graduate","Married","$40K - $60K",1,4010,1088,24
818906208,32,"M","High School","Unknown","$60K - $80K",2,29081,1538,36
719661558,48,"M","Graduate","Single","$80K - $120K",3,11656,1441,32
710599683,56,"M","College","Single","$80K - $120K",6,11751,1539,17
816082233,35,"M","Graduate","Unknown","$60K - $80K",1,8547,1311,33
712396908,57,"F","Graduate","Married","Less than $40K",2,2436,1570,29
709967358,48,"M","Post-Graduate","Single","$80K - $120K",2,30367,1671,27
806160108,61,"M","High School","Married","$40K - $60K",2,3193,1336,30
806165208,47,"M","Doctorate","Divorced","$60K - $80K",2,20979,1178,27
708508758,62,"F","Graduate","Married","Less than $40K",3,1438.3,692,16
784725333,41,"M","High School","Married","$40K - $60K",2,4470,931,18
771071958,41,"F","Graduate","Single","Less than $40K",1,7768,1051,22
720466383,59,"M","High School","Unknown","$40K - $60K",1,14784,1197,23
806624208,47,"M","High School","Married","$40K - $60K",0,4785,1045,38
709029408,41,"M","Graduate","Married","$60K - $80K",1,8923,1589,24
788658483,53,"F","College","Married","Less than $40K",2,2650,1411,28
787937058,58,"M","Graduate","Married","$80K - $120K",2,12555,1291,24
715318008,55,"F","College","Single","Less than $40K",2,3520,1407,43
713962233,55,"F","Graduate","Married","Less than $40K",2,3035,1877,37
785432733,42,"F","High School","Married","Less than $40K",3,15433,966,22
715190283,57,"F","Graduate","Unknown","$40K - $60K",3,3672,1464,28
827111283,45,"M","Graduate","Single","$80K - $120K",2,32426,1109,28
773146383,50,"F","College","Single","$40K - $60K",2,17304,1756,33
778493808,49,"M","High School","Married","$60K - $80K",2,3906,1756,32
789172683,56,"M","Doctorate","Married","$60K - $80K",2,2283,1741,27
738406533,59,"M","Doctorate","Married","$40K - $60K",2,2548,1719,27
799723908,46,"M","High School","Married","$80K - $120K",3,19458,1217,27
