"CLIENTNUM","Customer_Age","Gender","Education_Level","Marital_Status","Income_Category","Months_Inactive_12_mon","Credit_Limit","Total_Trans_Amt","Total_Trans_Ct"
768805383,45,"M","High School","Married","$60K - $80K",1,12691,1144,42
818770008,49,"F","Graduate","Single","Less than $40K",1,8256,1291,33
713982108,51,"M","Graduate","Married","$80K - $120K",1,3418,1887,20
769911858,40,"F","High School","Unknown","Less than $40K",4,3313,1171,20
709106358,40,"M","Uneducated","Married","$60K - $80K",1,4716,816,28
713061558,44,"M","Graduate","Married","$40K - $60K",1,4010,1088,24
810347208,51,"M","Unknown","Married","$120K +",1,34516,1330,31
818906208,32,"M","High School","Unknown","$60K - $80K",2,29081,1538,36
710930508,37,"M","Uneducated","Single","$60K - $80K",2,22352,1350,24
719661558,48,"M","Graduate","Single","$80K - $120K",3,11656,1441,32
708790833,42,"M","Uneducated","Unknown","$120K +",3,6748,1201,42
710821833,65,"M","Unknown","Married","$40K - $60K",2,9095,1314,26
710599683,56,"M","College","Single","$80K - $120K",6,11751,1539,17
816082233,35,"M","Graduate","Unknown","$60K - $80K",1,8547,1311,33
712396908,57,"F","Graduate","Married","Less than $40K",2,2436,1570,29
714885258,44,"M","Unknown","Unknown","$80K - $120K",1,4234,1348,27
709967358,48,"M","Post-Graduate","Single","$80K - $120K",2,30367,1671,27
753327333,41,"M","Unknown","Married","$80K - $120K",4,13535,1028,21
806160108,61,"M","High School","Married","$40K - $60K",2,3193,1336,30
709327383,45,"F","Graduate","Married","Unknown",1,14470,1207,21
806165208,47,"M","Doctorate","Divorced","$60K - $80K",2,20979,1178,27
708508758,62,"F","Graduate","Married","Less than $40K",3,1438.3,692,16
784725333,41,"M","High School","Married","$40K - $60K",2,4470,931,18
811604133,47,"F","Unknown","Single","Less than $40K",3,2492,1126,23
789124683,54,"M","Unknown","Married","$80K - $120K",2,12217,1110,21
771071958,41,"F","Graduate","Single","Less than $40K",1,7768,1051,22
720466383,59,"M","High School","Unknown","$40K - $60K",1,14784,1197,23
804424383,63,"M","Unknown","Married","$60K - $80K",3,10215,1904,40
718813833,44,"F","Uneducated","Single","Unknown",2,10100,1052,18
806624208,47,"M","High School","Married","$40K - $60K",0,4785,1045,38
778348233,53,"M","Unknown","Married","$80K - $120K",2,2753,1038,25
