"Customer_Age","Gender","Education_Level","Marital_Status","Income_Category","Months_Inactive_12_mon","Credit_Limit","Total_Trans_Amt","Total_Trans_Ct"
45,"M","High School","Married","$60K - $80K",1,12691,1144,42
49,"F","Graduate","Single","Less than $40K",1,8256,1291,33
51,"M","Graduate","Married","$80K - $120K",1,3418,1887,20
40,"F","High School","Unknown","Less than $40K",4,3313,1171,20
44,"M","Graduate","Married","$40K - $60K",1,4010,1088,24
32,"M","High School","Unknown","$60K - $80K",2,29081,1538,36
48,"M","Graduate","Single","$80K - $120K",3,11656,1441,32
56,"M","College","Single","$80K - $120K",6,11751,1539,17
35,"M","Graduate","Unknown","$60K - $80K",1,8547,1311,33
57,"F","Graduate","Married","Less than $40K",2,2436,1570,29
48,"M","Post-Graduate","Single","$80K - $120K",2,30367,1671,27
61,"M","High School","Married","$40K - $60K",2,3193,1336,30
47,"M","Doctorate","Divorced","$60K - $80K",2,20979,1178,27
62,"F","Graduate","Married","Less than $40K",3,1438.3,692,16
41,"M","High School","Married","$40K - $60K",2,4470,931,18
41,"F","Graduate","Single","Less than $40K",1,7768,1051,22
59,"M","High School","Unknown","$40K - $60K",1,14784,1197,23
47,"M","High School","Married","$40K - $60K",0,4785,1045,38
41,"M","Graduate","Married","$60K - $80K",1,8923,1589,24
53,"F","College","Married","Less than $40K",2,2650,1411,28
58,"M","Graduate","Married","$80K - $120K",2,12555,1291,24
55,"F","College","Single","Less than $40K",2,3520,1407,43
55,"F","Graduate","Married","Less than $40K",2,3035,1877,37
42,"F","High School","Married","Less than $40K",3,15433,966,22
57,"F","Graduate","Unknown","$40K - $60K",3,3672,1464,28
45,"M","Graduate","Single","$80K - $120K",2,32426,1109,28
50,"F","College","Single","$40K - $60K",2,17304,1756,33
49,"M","High School","Married","$60K - $80K",2,3906,1756,32
56,"M","Doctorate","Married","$60K - $80K",2,2283,1741,27
59,"M","Doctorate","Married","$40K - $60K",2,2548,1719,27
46,"M","High School","Married","$80K - $120K",3,19458,1217,27
52,"M","College","Single","$80K - $120K",1,4745,1140,40
54,"F","Graduate","Married","Less than $40K",3,1438.3,705,19
66,"F","High School","Married","Less than $40K",4,3171,1946,38
56,"M","Graduate","Married","$120K +",3,15769,602,15
49,"F","Graduate","Unknown","Less than $40K",4,3298,1052,32
49,"F","Graduate","Single","Less than $40K",2,2802,1295,40
42,"M","High School","Single","$60K - $80K",4,3336,1168,27
48,"M","Graduate","Married","$60K - $80K",4,34516,691,15
39,"M","High School","Divorced","$60K - $80K",3,5926,1316,28
44,"M","Post-Graduate","Single","$120K +",4,23957,1276,26
53,"M","High School","Single","$120K +",2,14734,1289,23
57,"M","College","Married","$60K - $80K",3,6584,1353,35
49,"M","Graduate","Married","$60K - $80K",2,1687,1670,17
50,"M","Doctorate","Married","$80K - $120K",2,25300,837,15
51,"M","Graduate","Single","$120K +",2,34516,1550,41
55,"F","Graduate","Married","Less than $40K",3,2216,1540,36
54,"M","Graduate","Unknown","$60K - $80K",2,2910,1256,21
44,"M","College","Single","$60K - $80K",3,24312,1341,24
53,"M","Graduate","Single","$80K - $120K",3,5272,1289,33
44,"F","Graduate","Single","Less than $40K",4,7000,1112,23
49,"M","Graduate","Divorced","$60K - $80K",1,2536,1468,23
47,"M","Graduate","Married","$80K - $120K",3,28904,1334,35
47,"M","Graduate","Married","$60K - $80K",4,8567,1457,41
53,"M","Graduate","Divorced","$80K - $120K",4,34516,1590,27
52,"M","Graduate","Married","$60K - $80K",3,3085,1531,35
53,"M","High School","Single","$120K +",2,19040,1212,31
44,"M","High School","Single","$60K - $80K",3,12756,1413,14
51,"F","High School","Single","Less than $40K",2,9930,1276,21
49,"M","High School","Single","$80K - $120K",3,31302,1564,35
45,"M","Graduate","Single","$40K - $60K",4,6576,1465,34
53,"M","Graduate","Single","$80K - $120K",4,2664,1286,29
64,"M","Graduate","Married","Less than $40K",4,1709,1673,32
45,"M","Graduate","Married","$40K - $60K",4,3454,1313,30
53,"M","Doctorate","Married","$40K - $60K",3,3789,1609,42
56,"M","College","Married","$120K +",2,9689,1158,19
53,"M","Graduate","Married","$120K +",2,2940,1259,33
44,"F","Graduate","Single","Less than $40K",3,3031,1298,15
44,"M","High School","Unknown","$60K - $80K",3,1862,1226,34
43,"F","Post-Graduate","Married","Less than $40K",3,8358,1566,37
53,"M","Post-Graduate","Single","$120K +",1,34516,1022,21
57,"M","Graduate","Married","$60K - $80K",3,8466,1342,32
42,"M","High School","Divorced","$60K - $80K",1,3263,1251,35
48,"M","Graduate","Single","$80K - $120K",1,13551,1388,37
49,"M","Graduate","Single","$80K - $120K",2,18886,1235,18
52,"M","High School","Unknown","$80K - $120K",2,11976,2089,36
50,"M","High School","Single","$80K - $120K",1,9964,1626,25
49,"M","Doctorate","Married","$60K - $80K",6,24159,1111,24
53,"F","High School","Married","Less than $40K",2,5362,1553,38
50,"M","Graduate","Single","$120K +",2,34516,1064,13
55,"F","Doctorate","Married","Less than $40K",1,3174,1243,29
53,"M","High School","Married","$80K - $120K",2,12262,1659,38
47,"F","High School","Single","$40K - $60K",3,3788,1594,47
55,"M","College","Single","$120K +",3,34516,1268,42
47,"M","Graduate","Single","$60K - $80K",2,2926,1304,24
58,"M","Graduate","Single","$120K +",1,32090,1368,30
53,"M","Graduate","Married","$80K - $120K",3,11669,720,23
52,"M","High School","Single","$40K - $60K",1,13532,1521,29
42,"F","Graduate","Married","Less than $40K",1,2393,978,16
57,"M","Graduate","Married","$80K - $120K",2,19270,1565,28
52,"M","Graduate","Married","$80K - $120K",1,3710,1578,34
47,"M","Doctorate","Single","Less than $40K",1,3235,1493,32
44,"F","Graduate","Single","$40K - $60K",1,11749,1178,27
53,"M","High School","Divorced","$60K - $80K",3,7753,991,26
45,"M","College","Divorced","$60K - $80K",1,10408,2560,42
39,"F","Post-Graduate","Single","Less than $40K",2,6205,1204,19
48,"F","High School","Married","Less than $40K",3,8025,673,18
54,"M","Graduate","Married","$80K - $120K",3,14926,1576,25
59,"F","Graduate","Single","Less than $40K",2,6335,1217,20
59,"M","College","Single","$60K - $80K",3,14979,530,10
41,"F","Graduate","Single","Less than $40K",3,2250,1617,31
55,"M","Graduate","Married","$120K +",2,10916,1592,34
41,"M","High School","Married","$80K - $120K",1,9366,1303,39
40,"M","High School","Single","$80K - $120K",1,21617,1351,22
50,"F","Graduate","Single","$40K - $60K",2,18386,1298,22
53,"F","College","Married","Less than $40K",2,2154,1439,26
48,"F","High School","Single","$40K - $60K",1,8135,1716,29
49,"M","Doctorate","Married","$120K +",1,9364,1099,27
43,"F","Graduate","Divorced","Less than $40K",3,3195,1285,29
56,"M","High School","Married","$80K - $120K",2,2852,1651,28
46,"M","Graduate","Single","$80K - $120K",3,32975,597,17
53,"M","High School","Married","$60K - $80K",2,1438.3,2184,53
52,"F","High School","Married","Less than $40K",3,6703,1388,28
50,"M","High School","Married","$80K - $120K",1,34516,1504,34
41,"F","High School","Married","$40K - $60K",1,9797,1503,34
45,"F","Graduate","Divorced","$40K - $60K",2,10400,1105,28
67,"F","Graduate","Married","Less than $40K",3,3006,1661,32
51,"M","Graduate","Married","$80K - $120K",2,11106,1243,24
53,"M","Graduate","Married","$60K - $80K",2,3380,1502,25
47,"M","Graduate","Married","$60K - $80K",1,21331,1460,50
49,"M","Post-Graduate","Single","$80K - $120K",1,6278,1087,33
60,"F","College","Single","Less than $40K",1,1438.3,1226,33
50,"F","High School","Married","Less than $40K",1,9355,1230,28
57,"M","Graduate","Married","$80K - $120K",3,14612,1827,24
43,"M","Graduate","Unknown","$80K - $120K",2,27259,1376,35
57,"F","Graduate","Married","Less than $40K",2,6347,1771,37
54,"M","Doctorate","Married","$120K +",3,21592,1873,52
51,"F","Post-Graduate","Married","Less than $40K",1,3449,1679,42
47,"F","High School","Married","Less than $40K",1,6028,1002,22
41,"M","High School","Unknown","$120K +",2,18214,1344,21
68,"M","High School","Married","Less than $40K",3,1438.3,760,21
59,"M","College","Married","$60K - $80K",1,7871,1428,22
44,"M","Graduate","Married","$60K - $80K",5,11376,1302,27
48,"M","College","Married","$80K - $120K",5,12302,1483,41
47,"M","Graduate","Married","$60K - $80K",2,34516,1060,27
47,"M","Graduate","Married","$60K - $80K",2,34516,1330,32
43,"F","High School","Divorced","Less than $40K",2,10514,1229,27
55,"F","Graduate","Married","Less than $40K",4,1438.3,886,27
59,"M","Post-Graduate","Married","$60K - $80K",3,1438.3,844,24
63,"M","Graduate","Married","$40K - $60K",1,2619,1450,37
58,"M","College","Married","$120K +",3,24407,2311,48
53,"F","High School","Married","Less than $40K",1,2377,1378,26
52,"M","Graduate","Married","$120K +",3,11086,1523,40
48,"M","High School","Single","$60K - $80K",2,11432,1374,37
43,"M","High School","Married","$40K - $60K",3,13258,1080,21
48,"M","College","Single","Less than $40K",2,2571,1234,24
43,"F","Graduate","Single","Less than $40K",2,5781,1600,32
41,"M","High School","Married","$80K - $120K",1,34516,1353,33
44,"M","Graduate","Single","$80K - $120K",3,3839,1271,24
48,"F","Graduate","Divorced","$40K - $60K",2,2115,1223,20
44,"F","Graduate","Divorced","Less than $40K",2,1438.3,1117,29
41,"M","High School","Single","$80K - $120K",3,27756,994,24
45,"M","College","Single","$60K - $80K",1,1438.3,1468,26
51,"F","Graduate","Married","Less than $40K",1,3106,1368,38
51,"M","Graduate","Married","$120K +",3,34516,1218,18
41,"M","Graduate","Single","$120K +",2,5207,1310,26
44,"M","Post-Graduate","Divorced","$80K - $120K",2,17965,1767,50
43,"M","College","Single","$60K - $80K",3,2733,933,25
55,"M","College","Married","$60K - $80K",3,8863,1512,27
44,"M","Graduate","Unknown","$80K - $120K",3,34516,1120,27
39,"M","High School","Single","$80K - $120K",2,5269,2094,25
49,"M","College","Married","$40K - $60K",2,1438.3,815,21
45,"F","College","Married","Less than $40K",3,3387,510,24
54,"M","Graduate","Married","$80K - $120K",2,1982,1377,49
46,"M","High School","Married","$120K +",3,2442,701,19
47,"M","Graduate","Married","$60K - $80K",1,21304,1770,25
44,"M","Doctorate","Single","$60K - $80K",1,7577,1409,35
50,"M","Post-Graduate","Single","$120K +",1,3234,1354,28
73,"M","High School","Married","$40K - $60K",3,4469,1765,34
59,"M","High School","Single","$40K - $60K",4,3616,687,17
70,"M","High School","Married","Less than $40K",2,3252,1227,15
55,"F","High School","Married","Less than $40K",3,2358,1737,26
40,"M","Graduate","Married","$40K - $60K",3,6990,1479,29
36,"M","College","Unknown","$80K - $120K",2,34516,1283,39
59,"F","Post-Graduate","Married","$40K - $60K",4,1438.3,689,23
51,"F","Graduate","Married","Less than $40K",2,5207,1339,20
64,"F","High School","Married","$40K - $60K",3,3353,960,18
54,"M","Graduate","Married","$60K - $80K",3,2290,1119,18
45,"M","Graduate","Single","$80K - $120K",3,6363,1542,16
41,"M","High School","Single","$80K - $120K",3,8029,1094,32
45,"M","Graduate","Single","$60K - $80K",1,3401,744,18
48,"F","High School","Married","$40K - $60K",1,4206,1144,22
43,"M","Graduate","Single","$80K - $120K",3,34516,1575,34
41,"M","High School","Unknown","$80K - $120K",3,23018,1463,24
61,"M","Graduate","Married","$40K - $60K",1,2939,2434,33
48,"M","High School","Married","$120K +",3,27126,1000,25
45,"F","Graduate","Single","Less than $40K",3,3342,1139,30
44,"M","Graduate","Single","$60K - $80K",3,14546,1273,27
55,"M","Doctorate","Married","$60K - $80K",4,16427,1579,36
48,"M","Graduate","Unknown","$40K - $60K",1,13068,937,28
45,"M","College","Single","$60K - $80K",3,23218,1749,37
60,"M","High School","Married","$40K - $60K",1,3281,1424,29
55,"M","High School","Married","$40K - $60K",3,3096,2011,41
62,"F","High School","Married","$40K - $60K",2,2052,1208,31
38,"F","High School","Unknown","Less than $40K",3,1438.3,1259,24
46,"M","High School","Single","$40K - $60K",3,9432,1319,26
50,"M","High School","Single","$120K +",2,14938,949,27
47,"M","Post-Graduate","Divorced","$60K - $80K",3,5731,1554,26
48,"M","College","Married","$60K - $80K",2,34516,1350,32
51,"M","Graduate","Married","$120K +",3,24221,1678,40
47,"M","Graduate","Single","$80K - $120K",3,21637,1222,23
52,"M","Graduate","Single","$120K +",3,14543,1536,37
63,"M","High School","Married","$40K - $60K",2,5007,1050,28
61,"M","Graduate","Married","$60K - $80K",2,1616,1389,33
53,"F","Graduate","Married","Less than $40K",6,2759,2093,42
57,"M","Graduate","Married","$120K +",3,8249,678,11
53,"M","High School","Married","$60K - $80K",3,5264,1219,27
49,"F","High School","Married","Less than $40K",2,2826,1025,28
45,"M","High School","Married","$80K - $120K",5,12518,1165,33
67,"M","Graduate","Married","$40K - $60K",2,5876,2133,55
48,"M","Graduate","Single","$80K - $120K",2,34516,1122,13
52,"M","High School","Single","$80K - $120K",3,34516,1234,23
34,"M","High School","Married","$60K - $80K",3,3265,1843,35
44,"F","Post-Graduate","Married","Less than $40K",3,2293,1166,22
47,"M","Post-Graduate","Unknown","$80K - $120K",2,13399,1326,31
43,"F","Graduate","Single","$40K - $60K",2,3378,1285,16
50,"F","Graduate","Single","Less than $40K",1,5012,1142,28
53,"F","Graduate","Single","Less than $40K",1,3471,1052,24
43,"M","Graduate","Divorced","$120K +",3,34516,1628,38
53,"M","High School","Married","$120K +",3,3312,1740,32
56,"F","Graduate","Married","Less than $40K",3,2578,1378,29
57,"F","High School","Married","Less than $40K",2,2742,1389,32
62,"M","High School","Married","Less than $40K",3,2077,1365,38
46,"F","Graduate","Single","Less than $40K",1,6265,1715,43
52,"M","Graduate","Single","$80K - $120K",3,2731,1220,22
54,"M","High School","Married","$80K - $120K",1,16286,2552,49
49,"M","Graduate","Married","$120K +",2,34516,1106,31
58,"F","High School","Married","Less than $40K",1,2609,1731,34
52,"M","High School","Single","$60K - $80K",3,7567,1435,32
41,"M","High School","Married","$60K - $80K",3,22770,1882,38
54,"M","Graduate","Married","Less than $40K",4,2702,1658,32
40,"F","High School","Divorced","Less than $40K",1,2555,1334,32
43,"M","Graduate","Married","$80K - $120K",3,2355,1441,29
53,"F","Graduate","Single","$40K - $60K",2,5332,1371,39
46,"M","Graduate","Single","$60K - $80K",2,10741,1278,22
40,"M","Graduate","Single","$80K - $120K",1,2478,1558,31
51,"M","High School","Single","$120K +",3,34516,1795,47
50,"F","Graduate","Married","$40K - $60K",2,2339,893,22
47,"F","Graduate","Married","Less than $40K",3,2726,1099,27
36,"F","Graduate","Married","$40K - $60K",3,1628,1893,15
47,"F","Graduate","Married","Less than $40K",2,3156,1151,31
46,"F","Graduate","Single","Less than $40K",3,4745,1519,31
46,"M","High School","Married","$120K +",3,19727,1245,25
40,"F","Graduate","Single","Less than $40K",2,3751,1060,30
54,"F","High School","Married","Less than $40K",5,1594,1459,35
55,"F","High School","Single","Less than $40K",2,2569,1456,39
45,"M","High School","Married","$40K - $60K",3,3104,1353,24
49,"M","Graduate","Married","$40K - $60K",3,2406,1173,32
40,"F","High School","Single","Less than $40K",2,15534,1279,28
41,"F","Graduate","Married","Less than $40K",2,12301,1307,29
37,"M","Graduate","Married","$80K - $120K",2,2846,1473,37
55,"M","High School","Married","$60K - $80K",3,7231,1421,23
53,"F","High School","Married","Less than $40K",3,2324,1272,37
57,"M","Graduate","Married","$80K - $120K",2,12208,1409,34
43,"M","Post-Graduate","Unknown","$80K - $120K",5,5639,647,15
58,"M","Graduate","Married","$60K - $80K",3,10021,1275,25
54,"F","Graduate","Married","Less than $40K",2,2027,1702,37
53,"M","Graduate","Married","$60K - $80K",2,6363,1256,26
39,"F","College","Single","Less than $40K",1,3920,3178,53
56,"M","High School","Married","$60K - $80K",1,9226,1626,29
59,"F","Post-Graduate","Married","$40K - $60K",3,1944,1960,57
42,"M","Graduate","Married","$60K - $80K",1,28202,1629,38
43,"M","College","Unknown","$80K - $120K",3,24850,1226,25
55,"M","High School","Married","$120K +",3,3805,1743,27
48,"M","College","Married","$80K - $120K",3,7477,1159,32
48,"M","High School","Married","$120K +",5,29963,1205,28
47,"M","Graduate","Single","$40K - $60K",3,6509,1409,37
42,"M","College","Married","$60K - $80K",3,13450,1000,18
41,"M","Graduate","Unknown","$60K - $80K",2,27000,1209,39
51,"M","College","Married","$120K +",2,34516,1366,25
55,"F","Graduate","Single","Less than $40K",3,6347,1161,44
39,"M","Graduate","Married","$60K - $80K",1,2536,1750,35
54,"M","Post-Graduate","Single","$60K - $80K",3,13048,1170,24
47,"M","High School","Married","$40K - $60K",2,16138,1198,33
49,"M","Post-Graduate","Married","$60K - $80K",2,8077,1329,26
42,"F","Graduate","Married","Less than $40K",3,1929,857,36
49,"F","Graduate","Married","Less than $40K",3,2185,715,20
45,"M","Graduate","Single","$80K - $120K",2,24487,1512,42
63,"M","High School","Married","$60K - $80K",2,2567,2399,43
44,"M","Graduate","Single","$80K - $120K",3,4131,906,22
44,"F","College","Married","Less than $40K",2,10790,1052,16
40,"M","High School","Married","$40K - $60K",3,6884,975,11
42,"M","High School","Married","$80K - $120K",1,29801,990,21
54,"M","High School","Married","$120K +",1,13219,1097,24
46,"F","Graduate","Divorced","Less than $40K",3,9478,1327,41
50,"F","College","Divorced","Less than $40K",3,1491,1058,34
55,"M","High School","Divorced","$60K - $80K",1,9734,1476,38
46,"F","Graduate","Married","$40K - $60K",1,2305,1230,36
40,"M","Doctorate","Divorced","$60K - $80K",2,23138,1612,39
58,"F","Graduate","Married","Less than $40K",3,5798,1724,45
48,"M","Graduate","Single","$40K - $60K",2,6880,1784,35
48,"M","Graduate","Unknown","$80K - $120K",2,34516,1156,29
53,"F","College","Married","$40K - $60K",2,2075,2556,49
50,"M","Graduate","Married","$80K - $120K",3,4589,1590,37
52,"F","Graduate","Single","Less than $40K",2,2317,884,19
56,"F","Graduate","Single","$40K - $60K",2,6038,1447,30
49,"M","High School","Married","$80K - $120K",3,29659,1193,21
54,"M","Graduate","Married","$60K - $80K",3,4320,706,21
41,"F","High School","Single","Less than $40K",1,5773,1306,39
46,"F","Post-Graduate","Married","Less than $40K",1,5014,1209,25
53,"F","High School","Married","Less than $40K",1,3445,1074,31
60,"M","Graduate","Married","$80K - $120K",2,23412,1786,50
59,"F","Graduate","Single","Less than $40K",1,3044,1456,36
35,"M","Post-Graduate","Unknown","$80K - $120K",1,17030,715,25
50,"M","Graduate","Single","$60K - $80K",2,23090,1198,24
53,"M","Post-Graduate","Unknown","$80K - $120K",2,29205,1556,43
63,"M","Graduate","Married","$60K - $80K",2,14035,1606,30
37,"F","Post-Graduate","Married","Less than $40K",3,2061,2400,60
56,"M","College","Single","$120K +",2,16867,654,14
56,"M","Graduate","Married","$60K - $80K",3,2783,1909,54
52,"F","Post-Graduate","Single","Less than $40K",3,2972,922,25
40,"F","High School","Single","$40K - $60K",3,5124,1158,42
63,"M","Graduate","Married","$40K - $60K",6,2880,1323,26
58,"M","High School","Single","$40K - $60K",1,5579,1025,35
37,"F","Graduate","Married","$40K - $60K",2,4394,1377,32
46,"M","Graduate","Single","$80K - $120K",3,18325,1517,33
46,"F","Post-Graduate","Married","Less than $40K",3,3773,1528,25
41,"M","Graduate","Single","$80K - $120K",1,21684,1329,24
48,"F","High School","Divorced","$40K - $60K",1,1919,1505,33
49,"F","Graduate","Single","$40K - $60K",3,9995,1172,38
44,"M","Graduate","Married","$80K - $120K",2,11910,1646,39
39,"F","College","Married","Less than $40K",2,2279,1693,32
57,"M","College","Single","$40K - $60K",1,3539,1336,23
48,"M","High School","Married","$80K - $120K",1,30579,1289,19
47,"M","High School","Single","$80K - $120K",1,24480,1416,32
54,"F","College","Married","Less than $40K",1,1638,1885,51
54,"M","Graduate","Married","$60K - $80K",3,2947,1744,53
52,"M","High School","Married","$80K - $120K",1,5738,1922,48
59,"M","College","Single","$40K - $60K",3,7251,1300,36
56,"F","College","Married","Less than $40K",2,2641,1439,39
55,"M","High School","Married","$80K - $120K",3,16794,1917,33
48,"F","College","Divorced","$40K - $60K",1,9336,1391,39
56,"F","College","Single","Less than $40K",1,2763,1246,31
65,"F","High School","Married","Less than $40K",2,3198,1936,44
34,"M","Post-Graduate","Single","$80K - $120K",3,5100,2375,63
56,"M","Post-Graduate","Married","$60K - $80K",1,3955,1238,25
62,"F","High School","Married","Less than $40K",3,3140,1626,41
58,"M","High School","Single","$60K - $80K",2,6385,1612,47
41,"F","Graduate","Single","$40K - $60K",2,2375,1071,28
33,"M","Graduate","Married","$60K - $80K",3,1963,1378,37
47,"F","College","Single","Less than $40K",2,4256,1100,29
56,"F","Graduate","Married","Less than $40K",1,5097,2052,45
51,"M","Graduate","Single","$60K - $80K",2,3228,1349,33
49,"M","Graduate","Unknown","$40K - $60K",1,20231,1215,36
26,"M","Graduate","Single","Less than $40K",3,2585,2644,40
58,"M","College","Married","$80K - $120K",3,12151,918,14
46,"M","High School","Single","$80K - $120K",2,34516,1362,31
48,"M","High School","Married","$120K +",3,34516,1222,37
37,"M","Graduate","Married","$80K - $120K",1,10021,1463,40
50,"M","High School","Single","$40K - $60K",3,19853,1878,55
41,"F","High School","Single","$40K - $60K",3,4969,1489,32
48,"F","Graduate","Divorced","Less than $40K",2,3117,1437,37
46,"M","College","Single","$80K - $120K",2,21526,1313,37
61,"M","High School","Single","$60K - $80K",2,5504,1290,38
39,"F","Doctorate","Unknown","$40K - $60K",3,7262,1438,28
51,"M","High School","Married","$120K +",3,7319,1233,29
45,"M","Graduate","Married","$60K - $80K",5,1438.3,709,27
47,"M","Graduate","Married","$60K - $80K",3,2053,1283,28
41,"M","High School","Married","$40K - $60K",1,12804,1101,37
48,"M","College","Married","$80K - $120K",3,26443,1593,36
50,"F","Graduate","Single","Less than $40K",2,3125,1631,46
56,"F","Post-Graduate","Married","Less than $40K",1,4930,2194,53
39,"F","College","Single","Less than $40K",3,9476,1128,27
47,"M","Graduate","Married","$80K - $120K",3,11722,1497,35
44,"M","Graduate","Single","$120K +",1,13301,1385,50
43,"F","Post-Graduate","Married","Less than $40K",3,1438.3,974,28
59,"M","High School","Married","$60K - $80K",2,6705,731,18
48,"M","College","Married","$60K - $80K",3,19324,1744,50
44,"M","Graduate","Single","$40K - $60K",3,5331,1766,39
45,"M","Graduate","Single","$60K - $80K",2,17625,1773,39
39,"M","Graduate","Married","$80K - $120K",3,17438,1860,37
40,"M","College","Unknown","$80K - $120K",3,1962,1179,27
62,"M","High School","Married","$60K - $80K",3,8077,906,16
26,"M","Graduate","Single","$40K - $60K",1,3290,2781,54
54,"F","Doctorate","Single","Less than $40K",1,9256,1446,37
62,"M","Graduate","Married","$60K - $80K",3,3674,1703,48
57,"M","College","Married","$40K - $60K",5,6462,761,17
59,"M","Graduate","Single","$40K - $60K",2,1638,1536,44
46,"M","Graduate","Single","$60K - $80K",3,4335,1373,36
44,"M","High School","Single","$60K - $80K",3,3233,1256,29
46,"M","College","Unknown","$80K - $120K",2,24869,1409,36
40,"M","High School","Unknown","$60K - $80K",2,3624,1469,23
57,"F","Graduate","Single","$40K - $60K",1,10953,1277,29
44,"M","Graduate","Married","$60K - $80K",2,11338,1227,24
47,"F","Doctorate","Married","Less than $40K",2,5544,1336,38
47,"M","Doctorate","Married","$60K - $80K",1,19665,1110,58
50,"F","High School","Married","Less than $40K",2,2927,1474,26
53,"F","College","Married","$40K - $60K",3,5146,1955,44
56,"M","College","Married","$60K - $80K",3,1704,660,17
55,"M","High School","Married","$60K - $80K",2,1438.3,888,18
53,"F","High School","Married","Less than $40K",1,2974,1785,45
57,"M","High School","Married","$60K - $80K",1,2736,1211,25
50,"M","Graduate","Married","$80K - $120K",2,1438.3,1391,40
52,"M","Graduate","Single","$120K +",1,34516,1616,50
60,"M","Graduate","Married","Less than $40K",2,1976,1498,43
46,"F","Doctorate","Divorced","Less than $40K",1,8693,1594,45
45,"M","High School","Married","Less than $40K",5,7717,1248,37
44,"F","Doctorate","Married","Less than $40K",1,7222,920,18
45,"M","Doctorate","Married","$80K - $120K",3,11710,1749,50
57,"F","High School","Married","$40K - $60K",2,2278,2307,45
34,"F","Graduate","Married","Less than $40K",2,3663,1826,35
53,"F","Graduate","Single","Less than $40K",2,1438.3,799,17
44,"F","Graduate","Married","Less than $40K",1,1717,1468,29
